age,education,marital-status,relationship,sex,income
46,5th-6th,Married-civ-spouse,Husband,Male,
35,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
,HS-grad,Married-civ-spouse,,Male,
30,HS-grad,,Husband,,<=50K
30,Bachelors,Married-civ-spouse,,Male,<=50K
32,7th-8th,Married-spouse-absent,Not-in-family,,<=50K
48,,Married-civ-spouse,Husband,Male,
42,Doctorate,Married-civ-spouse,Husband,Male,>50K
29,Some-college,Divorced,Not-in-family,Male,
36,HS-grad,Married-civ-spouse,Husband,Male,<=50K
28,Some-college,Divorced,Not-in-family,Female,<=50K
53,HS-grad,Married-civ-spouse,Wife,,
,Some-college,,Husband,,
25,,Never-married,Own-child,Male,<=50K
19,Some-college,Never-married,Own-child,,
31,Bachelors,,Own-child,Female,<=50K
29,,Married-civ-spouse,,Male,
23,,Never-married,Not-in-family,Male,
79,Some-college,,Other-relative,Male,<=50K
27,HS-grad,Never-married,Own-child,,<=50K
40,,Married-civ-spouse,Husband,Male,<=50K
,,,Husband,Male,
18,11th,Never-married,Own-child,,<=50K
31,7th-8th,,Husband,Male,
18,,Never-married,Not-in-family,,<=50K
52,Bachelors,Married-civ-spouse,,Male,<=50K
46,HS-grad,,Wife,,
59,HS-grad,Married-civ-spouse,Husband,,
44,,Divorced,Not-in-family,Female,>50K
53,HS-grad,,Own-child,Female,<=50K
49,HS-grad,Married-civ-spouse,Husband,Male,>50K
,,Married-civ-spouse,,Male,<=50K
30,9th,Never-married,Not-in-family,Male,
43,Doctorate,Never-married,,,
57,Assoc-voc,Married-civ-spouse,Husband,,<=50K
37,Some-college,Divorced,Unmarried,,<=50K
28,,Divorced,Unmarried,,<=50K
30,HS-grad,Married-civ-spouse,Wife,Female,<=50K
,Bachelors,Married-civ-spouse,,Male,>50K
29,,Never-married,Not-in-family,,
48,Doctorate,,,Male,>50K
37,Some-college,,Husband,,>50K
48,,,Unmarried,,<=50K
32,HS-grad,Never-married,Own-child,,<=50K
76,Masters,Married-civ-spouse,Husband,Male,
,,Married-civ-spouse,Husband,Male,>50K
47,Masters,Never-married,Not-in-family,,
,Some-college,Never-married,Own-child,,<=50K
29,HS-grad,Never-married,Not-in-family,,<=50K
32,HS-grad,Married-civ-spouse,Husband,,
17,10th,Never-married,,,
,11th,Never-married,,Male,<=50K
31,HS-grad,,Not-in-family,,<=50K
42,HS-grad,Married-civ-spouse,Husband,,
,Bachelors,,Other-relative,,
38,Prof-school,,Husband,,
,HS-grad,,Husband,Male,>50K
28,Some-college,Married-civ-spouse,Wife,,<=50K
36,HS-grad,Never-married,Own-child,Female,<=50K
53,,Married-civ-spouse,Husband,Male,
56,,Married-civ-spouse,,,<=50K
,,Married-civ-spouse,Husband,Male,
,Some-college,,,,
22,,Never-married,Not-in-family,Male,
21,Some-college,Never-married,Own-child,,<=50K
40,Bachelors,Married-civ-spouse,Husband,Male,<=50K
30,Bachelors,Never-married,Own-child,,<=50K
29,Bachelors,Married-civ-spouse,Husband,Male,>50K
19,Some-college,Never-married,Own-child,Male,
47,Bachelors,,Wife,Female,>50K
20,Some-college,Never-married,,Female,<=50K
31,,Married-civ-spouse,Husband,Male,
35,HS-grad,Married-civ-spouse,Husband,Male,
39,,,Not-in-family,,
28,,Never-married,Not-in-family,Female,<=50K
24,HS-grad,Never-married,Not-in-family,Female,
38,HS-grad,Married-civ-spouse,,,
,Bachelors,Married-civ-spouse,,,
46,Assoc-acdm,Divorced,,,
38,Masters,,,,
43,,Married-civ-spouse,Husband,Male,<=50K
,Assoc-voc,,Wife,,<=50K
20,Some-college,Never-married,Own-child,,
49,Some-college,Married-civ-spouse,Husband,Male,
61,HS-grad,Married-civ-spouse,,Male,
27,Some-college,,,Female,<=50K
19,,Never-married,Own-child,Male,
45,Assoc-voc,Never-married,Not-in-family,,
70,Some-college,Never-married,,,
31,HS-grad,Never-married,Unmarried,,<=50K
22,,,Husband,,<=50K
36,,,,,<=50K
64,11th,,Husband,,<=50K
43,,Divorced,Not-in-family,,
47,Some-college,Divorced,Unmarried,Female,<=50K
34,HS-grad,Never-married,Not-in-family,Female,
33,,Never-married,Other-relative,Female,<=50K
21,,Never-married,Own-child,Male,<=50K
52,HS-grad,,Not-in-family,,
48,,Married-civ-spouse,Husband,Male,
23,,Never-married,,,
71,,Separated,Unmarried,,<=50K
29,HS-grad,Divorced,,,<=50K
42,,Separated,Other-relative,Male,<=50K
,,Divorced,,Female,
25,HS-grad,Never-married,,Female,
44,Masters,Divorced,Unmarried,,
,HS-grad,,Not-in-family,Female,<=50K
45,,Married-civ-spouse,Husband,,>50K
36,Some-college,,Unmarried,,<=50K
39,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
46,Masters,Widowed,Unmarried,,<=50K
18,,,Own-child,,<=50K
66,,Widowed,Not-in-family,,<=50K
27,,Never-married,Not-in-family,Male,<=50K
28,HS-grad,,Husband,Male,<=50K
51,Some-college,Married-civ-spouse,Husband,,>50K
27,,,Not-in-family,,
28,Bachelors,Married-civ-spouse,Husband,Male,
27,HS-grad,Married-spouse-absent,Unmarried,,
21,,Never-married,Own-child,,
34,HS-grad,Never-married,,,
18,HS-grad,Never-married,Own-child,,<=50K
33,,Married-civ-spouse,Husband,Male,<=50K
44,Some-college,,Husband,Male,
43,Some-college,Divorced,Not-in-family,Female,
30,Some-college,Never-married,Not-in-family,Male,<=50K
40,7th-8th,Married-civ-spouse,Husband,,>50K
,Some-college,Married-civ-spouse,,Male,>50K
,HS-grad,Married-civ-spouse,Husband,Male,<=50K
41,Bachelors,Divorced,Not-in-family,,
53,Bachelors,Divorced,Not-in-family,Female,
31,,,Wife,,<=50K
58,Doctorate,Married-civ-spouse,Husband,Male,>50K
38,Some-college,,Not-in-family,Female,
24,Some-college,Married-civ-spouse,Husband,,<=50K
,,Married-civ-spouse,Husband,Male,<=50K
47,Some-college,Married-civ-spouse,Husband,Male,<=50K
,,Married-civ-spouse,Husband,,<=50K
23,5th-6th,Married-civ-spouse,Other-relative,,
36,Some-college,,Not-in-family,Male,
,Masters,Never-married,Not-in-family,Female,>50K
35,Masters,,Other-relative,Male,>50K
24,,Never-married,Not-in-family,,<=50K
26,Masters,,Not-in-family,Female,<=50K
19,HS-grad,Never-married,,,<=50K
51,Bachelors,Married-civ-spouse,Husband,Male,
42,,,,Female,<=50K
37,,Divorced,Unmarried,,
18,,,,Female,<=50K
36,Bachelors,Married-civ-spouse,Husband,,>50K
35,HS-grad,,,Male,<=50K
,,Married-civ-spouse,Wife,Female,>50K
17,11th,,Own-child,Female,
44,,Married-civ-spouse,,,<=50K
37,HS-grad,,Husband,Male,>50K
35,,Never-married,Not-in-family,,
60,HS-grad,Married-civ-spouse,Husband,,<=50K
54,7th-8th,Married-civ-spouse,Husband,Male,>50K
37,,Never-married,Not-in-family,Male,>50K
50,,,Not-in-family,,
38,,Married-civ-spouse,Husband,Male,<=50K
45,Bachelors,Married-civ-spouse,Husband,,<=50K
25,10th,Never-married,,Male,<=50K
,,Married-civ-spouse,Husband,,<=50K
64,1st-4th,Divorced,Not-in-family,,<=50K
90,HS-grad,Never-married,Not-in-family,Male,<=50K
54,HS-grad,Married-civ-spouse,Husband,Male,<=50K
53,Preschool,Never-married,Not-in-family,,
18,,Never-married,Own-child,Female,<=50K
60,10th,Divorced,Not-in-family,Female,<=50K
66,HS-grad,Married-civ-spouse,Husband,Male,
75,,,Not-in-family,Female,
65,,Divorced,,Female,<=50K
35,11th,Separated,Not-in-family,,
41,HS-grad,Divorced,Unmarried,Female,
25,Some-college,Never-married,Not-in-family,,<=50K
33,Some-college,Divorced,Other-relative,,<=50K
28,,Never-married,Not-in-family,,
59,HS-grad,,Husband,Male,
40,Some-college,,,,<=50K
41,,Married-civ-spouse,,Male,
38,Masters,Married-civ-spouse,Husband,Male,>50K
23,,Never-married,Own-child,Male,
40,Bachelors,Married-civ-spouse,Husband,,>50K
,HS-grad,Married-civ-spouse,Wife,,<=50K
,Assoc-acdm,Married-civ-spouse,Husband,,
20,,Never-married,Own-child,Male,
38,Some-college,Divorced,Not-in-family,,<=50K
56,HS-grad,Married-civ-spouse,Husband,Male,
58,,Married-civ-spouse,Husband,Male,>50K
32,HS-grad,Never-married,,Female,
40,,Married-civ-spouse,Husband,Male,>50K
45,,Married-civ-spouse,,,
41,,Married-civ-spouse,,,>50K
42,Bachelors,Married-civ-spouse,,,
59,,Widowed,Unmarried,,<=50K
19,Some-college,Never-married,Own-child,Male,<=50K
58,Some-college,Never-married,Not-in-family,Male,
42,,Married-civ-spouse,,,
20,HS-grad,Never-married,Own-child,,
32,HS-grad,,Not-in-family,,<=50K
45,Assoc-voc,Widowed,,Female,<=50K
50,7th-8th,,Not-in-family,,
36,Bachelors,Divorced,Own-child,Female,<=50K
45,HS-grad,Married-civ-spouse,Husband,,
17,11th,Never-married,Own-child,,
59,,Married-civ-spouse,Husband,Male,<=50K
,,Married-civ-spouse,,Male,
37,Some-college,,Husband,Male,
19,,Never-married,Own-child,Male,<=50K
,,Married-civ-spouse,,,
33,Bachelors,Never-married,Not-in-family,,
33,HS-grad,Married-civ-spouse,,,>50K
61,HS-grad,Married-civ-spouse,Husband,,
17,9th,Never-married,Own-child,Male,<=50K
50,Masters,Married-civ-spouse,Husband,,
27,Masters,,,,<=50K
30,HS-grad,,Own-child,Female,
43,,,Husband,,<=50K
,Some-college,Married-civ-spouse,Husband,Male,>50K
35,,Never-married,Not-in-family,Female,
25,Some-college,Never-married,Own-child,Female,
24,Some-college,Married-civ-spouse,Wife,,>50K
22,,Never-married,Not-in-family,,<=50K
42,Some-college,Married-civ-spouse,,Male,>50K
34,Assoc-acdm,Divorced,Unmarried,,
60,Bachelors,Divorced,Not-in-family,,
21,HS-grad,Never-married,Own-child,,
57,,Married-civ-spouse,Husband,Male,
41,Prof-school,Married-civ-spouse,Husband,,>50K
50,Some-college,Divorced,Not-in-family,Male,<=50K
25,Bachelors,,Not-in-family,,
50,7th-8th,Married-civ-spouse,Husband,Male,<=50K
36,,Married-civ-spouse,Husband,Male,
31,HS-grad,Divorced,Not-in-family,,
29,Bachelors,Never-married,Not-in-family,,
,Some-college,Never-married,,,<=50K
27,Bachelors,,Unmarried,,
65,HS-grad,,Husband,Male,
37,,Divorced,Not-in-family,Female,<=50K
39,Masters,Married-civ-spouse,Wife,,<=50K
24,HS-grad,Never-married,Own-child,Male,<=50K
38,,,Not-in-family,Male,
48,Bachelors,Married-civ-spouse,Husband,,
21,Some-college,Never-married,Not-in-family,,<=50K
,,Married-civ-spouse,Husband,Male,>50K
55,HS-grad,Married-civ-spouse,Husband,Male,>50K
24,Some-college,Married-civ-spouse,Wife,Female,<=50K
43,HS-grad,Divorced,Not-in-family,Female,<=50K
26,,Never-married,Not-in-family,,
46,Assoc-acdm,Never-married,Not-in-family,Female,<=50K
,,,Husband,,
41,Some-college,Married-civ-spouse,,Male,
26,Bachelors,Never-married,Not-in-family,,<=50K
34,Masters,Married-civ-spouse,Husband,Male,>50K
19,Some-college,Never-married,Own-child,Female,
36,Bachelors,Divorced,Not-in-family,Female,
22,,Never-married,,Male,
24,,Never-married,,Male,<=50K
77,Some-college,Married-civ-spouse,Husband,Male,<=50K
22,5th-6th,,Other-relative,Female,
29,Some-college,Never-married,,Female,<=50K
62,,Widowed,Not-in-family,Female,<=50K
39,HS-grad,Married-civ-spouse,Husband,Male,
43,Some-college,,Husband,,
35,HS-grad,Divorced,Not-in-family,Male,
29,11th,Never-married,,,
76,Masters,Married-civ-spouse,Husband,Male,
63,,,Husband,,
23,Assoc-voc,Never-married,Own-child,Female,<=50K
43,Some-college,Married-civ-spouse,Wife,Female,
58,HS-grad,Married-civ-spouse,Husband,Male,<=50K
66,,,Not-in-family,,<=50K
41,,Never-married,Not-in-family,,<=50K
26,Bachelors,Never-married,,,
47,Assoc-voc,Never-married,Not-in-family,Male,<=50K
55,10th,Married-civ-spouse,Husband,,
53,,Married-civ-spouse,Husband,Male,
17,,Never-married,Other-relative,Male,<=50K
30,,Never-married,Other-relative,,<=50K
49,,Never-married,Not-in-family,Male,<=50K
19,HS-grad,,,Male,<=50K
45,,Married-civ-spouse,,Male,
26,Assoc-acdm,,Not-in-family,,
38,,Married-civ-spouse,Husband,Male,
36,HS-grad,Married-civ-spouse,Husband,,>50K
33,HS-grad,Never-married,Not-in-family,Male,<=50K
22,Some-college,,,Female,<=50K
43,,Never-married,Not-in-family,,
67,11th,Married-civ-spouse,Husband,Male,
30,Assoc-voc,Divorced,Unmarried,,<=50K
56,Assoc-acdm,Married-spouse-absent,,Male,
31,Bachelors,Never-married,Own-child,Male,<=50K
33,Bachelors,,Husband,Male,>50K
26,HS-grad,Married-civ-spouse,Husband,Male,
33,,,Husband,Male,>50K
46,11th,Married-civ-spouse,Husband,,
59,,Married-civ-spouse,,,>50K
38,HS-grad,,,,>50K
65,,Widowed,Unmarried,Male,<=50K
40,Assoc-voc,Married-civ-spouse,Husband,Male,
42,HS-grad,,Wife,Female,
26,9th,,Husband,,
36,10th,Married-civ-spouse,Wife,Female,
62,,,Husband,Male,
43,,Married-civ-spouse,Husband,Male,<=50K
43,Bachelors,,Not-in-family,Male,>50K
22,HS-grad,Married-spouse-absent,Not-in-family,Male,<=50K
28,,Married-civ-spouse,,Male,<=50K
56,,Married-civ-spouse,Husband,,<=50K
22,,,Not-in-family,Female,<=50K
,Bachelors,,,Female,
39,,Divorced,Unmarried,Female,<=50K
26,,Never-married,,,<=50K
17,11th,Never-married,Own-child,Male,<=50K
40,Assoc-voc,Married-civ-spouse,Husband,Male,
45,,Married-civ-spouse,Husband,Male,<=50K
44,HS-grad,Never-married,,Male,<=50K
20,,Never-married,Own-child,,
33,,Married-civ-spouse,,Female,
23,,Never-married,Not-in-family,Male,
,Masters,Divorced,Not-in-family,,<=50K
38,HS-grad,Married-civ-spouse,Husband,Male,<=50K
54,HS-grad,Divorced,Not-in-family,Male,<=50K
46,5th-6th,Divorced,Not-in-family,Female,<=50K
25,Some-college,,,Male,<=50K
46,Some-college,Divorced,Not-in-family,,<=50K
36,,Married-civ-spouse,Wife,,<=50K
23,,Never-married,Not-in-family,,
29,,,Not-in-family,,<=50K
44,Some-college,Married-civ-spouse,,Female,
19,Some-college,,Own-child,,
19,,,Other-relative,Female,
35,HS-grad,Married-civ-spouse,,Female,>50K
27,Bachelors,,,Male,<=50K
46,Assoc-acdm,Separated,Not-in-family,,
34,Bachelors,,Husband,,
34,HS-grad,Never-married,Not-in-family,,<=50K
44,,Married-civ-spouse,,Male,<=50K
45,,Divorced,Unmarried,,
20,HS-grad,Never-married,Other-relative,Female,
,Bachelors,Married-civ-spouse,Husband,Male,>50K
52,,Married-civ-spouse,Husband,Male,>50K
20,,Never-married,Own-child,Male,<=50K
28,Some-college,Never-married,Not-in-family,Female,
50,Bachelors,,Husband,,>50K
34,,Divorced,Not-in-family,Female,<=50K
28,,Married-civ-spouse,Husband,,
41,,Married-civ-spouse,Husband,,
28,HS-grad,Married-civ-spouse,,Male,
46,HS-grad,Married-civ-spouse,Husband,Male,<=50K
28,,Married-civ-spouse,,,
32,Some-college,Married-civ-spouse,,Male,
41,,,Not-in-family,Female,<=50K
24,HS-grad,Never-married,Unmarried,Female,
33,Some-college,,Unmarried,,
46,Doctorate,Married-civ-spouse,Husband,Male,
31,,Married-civ-spouse,,,
35,12th,,,,>50K
52,1st-4th,Married-civ-spouse,Husband,Male,
,11th,Never-married,Own-child,Female,
34,11th,Separated,Not-in-family,Male,
34,HS-grad,Divorced,Unmarried,Female,
20,Some-college,Married-civ-spouse,Husband,Male,<=50K
17,11th,Never-married,Own-child,Male,<=50K
32,Bachelors,Married-civ-spouse,,Female,
29,HS-grad,Divorced,Not-in-family,Male,<=50K
33,10th,Never-married,Unmarried,,<=50K
25,HS-grad,Married-civ-spouse,,,<=50K
36,,Never-married,Not-in-family,Male,
,,,,Male,<=50K
63,HS-grad,Married-civ-spouse,Husband,,>50K
47,Masters,Married-civ-spouse,Husband,,
80,,Widowed,Not-in-family,,
17,11th,Never-married,Own-child,Male,
40,Bachelors,Married-spouse-absent,Not-in-family,,
30,Assoc-acdm,,Wife,,>50K
27,Some-college,,Own-child,,
33,,Married-civ-spouse,Husband,,
34,,Never-married,Not-in-family,Male,<=50K
34,,Never-married,,Female,<=50K
23,Some-college,Married-civ-spouse,Husband,,
42,Some-college,Married-civ-spouse,Wife,,<=50K
29,Bachelors,Never-married,Not-in-family,Male,
45,HS-grad,Divorced,Not-in-family,Female,
24,HS-grad,Never-married,,,
44,Some-college,Married-civ-spouse,Husband,Male,
27,,Never-married,Other-relative,Male,
20,,Never-married,,,<=50K
44,,Widowed,Unmarried,Female,
51,HS-grad,Married-civ-spouse,,Male,
20,,Married-civ-spouse,,,
17,11th,Never-married,Own-child,Female,
,HS-grad,Never-married,Own-child,,
45,Some-college,Married-civ-spouse,Husband,Male,>50K
60,HS-grad,Married-civ-spouse,Husband,,>50K
42,,,Husband,Male,
44,,Married-civ-spouse,Wife,,
40,Assoc-voc,Married-civ-spouse,Husband,,>50K
30,HS-grad,Married-civ-spouse,Wife,Female,<=50K
,Some-college,Married-civ-spouse,Husband,,<=50K
23,HS-grad,Married-civ-spouse,Husband,,
32,Some-college,Married-civ-spouse,Husband,,<=50K
44,Assoc-acdm,Never-married,,,
54,,Married-civ-spouse,Husband,Male,<=50K
32,Bachelors,,Husband,Male,
50,1st-4th,Married-spouse-absent,,Male,<=50K
24,Bachelors,Never-married,Not-in-family,Female,
37,HS-grad,Married-civ-spouse,Wife,Female,
,HS-grad,,,Male,<=50K
38,,Married-civ-spouse,Husband,Male,
49,,,,,>50K
30,,Married-civ-spouse,Wife,Female,>50K
60,Some-college,Never-married,Unmarried,,
22,,,Own-child,,<=50K
35,,Never-married,,Male,<=50K
30,,,,Male,
67,,Divorced,Not-in-family,,<=50K
46,Bachelors,,Not-in-family,Female,
17,,Never-married,,Male,<=50K
22,Some-college,Never-married,Own-child,Male,<=50K
27,10th,Never-married,Not-in-family,Male,
23,,Never-married,Unmarried,Female,
33,Assoc-acdm,Married-civ-spouse,Husband,,
43,Some-college,Married-civ-spouse,Husband,Male,<=50K
28,,Never-married,Not-in-family,Male,
41,,Married-spouse-absent,Unmarried,,
52,12th,Never-married,,,
25,,,Own-child,Female,<=50K
63,,,,Male,
59,HS-grad,Married-civ-spouse,,,
45,,Divorced,,Female,
,,Married-civ-spouse,Husband,Male,
40,,Never-married,Not-in-family,,
46,,Divorced,Not-in-family,Male,
35,,Never-married,,Female,
34,HS-grad,Divorced,,Female,<=50K
33,Bachelors,Never-married,Own-child,,<=50K
41,HS-grad,Divorced,Unmarried,,<=50K
,Some-college,Never-married,Own-child,,
23,,Never-married,Own-child,Male,
26,Some-college,Never-married,Not-in-family,Female,
,HS-grad,Married-civ-spouse,Husband,Male,
23,HS-grad,Never-married,Not-in-family,Male,<=50K
62,HS-grad,Married-civ-spouse,Husband,Male,<=50K
52,,Married-civ-spouse,Husband,Male,<=50K
58,,,Unmarried,Female,<=50K
,Bachelors,Never-married,Not-in-family,,<=50K
24,,,Not-in-family,,
19,,Never-married,,Male,<=50K
43,Some-college,Married-civ-spouse,Husband,Male,
,HS-grad,Separated,Unmarried,,
39,HS-grad,Divorced,Unmarried,,<=50K
,Assoc-voc,Married-spouse-absent,Unmarried,,
53,5th-6th,Widowed,Unmarried,,<=50K
32,,,Not-in-family,,<=50K
34,Some-college,,Husband,,>50K
28,,Divorced,Not-in-family,,
57,,,Unmarried,Female,<=50K
,Some-college,Never-married,Not-in-family,,
20,Some-college,Never-married,Own-child,Male,<=50K
21,Some-college,,Unmarried,,<=50K
34,,Married-civ-spouse,Husband,Male,>50K
38,Bachelors,Married-civ-spouse,Husband,Male,
50,HS-grad,,Husband,Male,>50K
24,Some-college,Divorced,,Male,<=50K
37,,Married-civ-spouse,Husband,,>50K
44,Some-college,,Unmarried,Male,>50K
28,Some-college,Married-civ-spouse,,,<=50K
42,,,Husband,,
74,,Divorced,Not-in-family,Female,<=50K
38,,,,,
,,Married-civ-spouse,Husband,,
,11th,,Unmarried,Female,<=50K
26,HS-grad,Never-married,Not-in-family,Male,
36,HS-grad,Married-civ-spouse,Husband,,<=50K
41,Assoc-acdm,,Wife,,
67,Prof-school,,,,>50K
39,12th,Married-civ-spouse,Husband,,<=50K
57,1st-4th,,,,
29,Assoc-voc,Separated,Not-in-family,Male,
31,Bachelors,Never-married,,Female,
34,HS-grad,Never-married,,Female,
44,,Married-civ-spouse,Husband,Male,<=50K
29,Doctorate,Never-married,Own-child,,<=50K
30,Some-college,Never-married,Unmarried,Female,<=50K
27,HS-grad,Never-married,Not-in-family,Male,<=50K
27,Some-college,Married-civ-spouse,Husband,Male,
32,HS-grad,Never-married,Not-in-family,Female,<=50K
58,10th,Married-civ-spouse,Wife,,<=50K
,,Married-civ-spouse,Husband,,
21,HS-grad,Never-married,Own-child,,<=50K
28,Some-college,Never-married,Unmarried,Male,<=50K
,Some-college,,Not-in-family,Male,<=50K
36,HS-grad,Separated,Unmarried,Female,<=50K
72,11th,Widowed,Unmarried,,
35,HS-grad,Married-civ-spouse,Wife,Female,<=50K
33,,Divorced,Unmarried,Female,
69,11th,Never-married,,,
35,HS-grad,Married-civ-spouse,Husband,,
31,,Separated,Unmarried,Female,
34,HS-grad,,Wife,,<=50K
30,,Married-civ-spouse,Husband,,<=50K
28,,Never-married,Not-in-family,Male,<=50K
54,Bachelors,Married-civ-spouse,,,>50K
47,,Married-civ-spouse,Husband,Male,
24,HS-grad,Never-married,Unmarried,Female,<=50K
,,Married-civ-spouse,Husband,,
20,HS-grad,Never-married,Own-child,Male,<=50K
43,,Married-civ-spouse,Husband,,<=50K
45,7th-8th,Separated,Unmarried,,<=50K
29,HS-grad,Separated,Not-in-family,Male,
47,Masters,Divorced,,Male,
24,HS-grad,,,,
51,HS-grad,Married-civ-spouse,Husband,Male,<=50K
17,,Never-married,Own-child,Male,<=50K
37,,Married-civ-spouse,Husband,,
27,Doctorate,,Not-in-family,Female,<=50K
29,,Married-civ-spouse,,Male,>50K
,,Never-married,Own-child,,<=50K
,Assoc-acdm,Divorced,Unmarried,Female,
58,Bachelors,Never-married,Not-in-family,Female,
26,Some-college,Married-civ-spouse,Husband,Male,
65,Some-college,Married-civ-spouse,Husband,Male,>50K
57,HS-grad,Married-civ-spouse,Husband,,>50K
59,HS-grad,,,Male,<=50K
27,,Married-civ-spouse,Husband,,
31,Bachelors,Never-married,Not-in-family,,<=50K
21,Some-college,Never-married,,Female,
29,Some-college,Never-married,Not-in-family,,
18,11th,Never-married,Own-child,Male,
52,10th,Married-civ-spouse,Husband,Male,>50K
57,,Divorced,Not-in-family,Male,<=50K
42,,Married-civ-spouse,Husband,,<=50K
55,HS-grad,Married-civ-spouse,Wife,,<=50K
60,,Never-married,Not-in-family,Male,
31,Bachelors,Married-civ-spouse,Husband,,>50K
23,Bachelors,Never-married,Own-child,,
27,HS-grad,Never-married,Own-child,Male,<=50K
23,Some-college,Never-married,Unmarried,Female,
42,Prof-school,,Husband,,>50K
25,,,Not-in-family,,<=50K
49,Bachelors,,Not-in-family,,<=50K
32,Bachelors,Never-married,,Male,<=50K
19,,,,Male,
60,7th-8th,Divorced,Not-in-family,,
,,Married-civ-spouse,,,<=50K
35,Assoc-acdm,Never-married,,,
48,,Never-married,Unmarried,Female,<=50K
51,,Married-civ-spouse,Husband,,>50K
29,HS-grad,Never-married,Not-in-family,Male,<=50K
36,HS-grad,Separated,Not-in-family,,<=50K
17,10th,Never-married,Own-child,Female,<=50K
52,Masters,Divorced,Not-in-family,Female,<=50K
24,HS-grad,Never-married,Not-in-family,,
,HS-grad,Married-civ-spouse,Husband,Male,
26,Bachelors,Never-married,Own-child,,<=50K
27,,Never-married,Own-child,,
39,HS-grad,Never-married,Own-child,Male,
30,HS-grad,,Husband,Male,<=50K
50,HS-grad,Married-civ-spouse,,Male,
52,,Married-civ-spouse,Husband,Male,
46,,Married-civ-spouse,Husband,,>50K
23,,Never-married,,Female,<=50K
45,11th,Widowed,Not-in-family,,<=50K
,9th,Widowed,Unmarried,Female,
,Assoc-voc,Married-civ-spouse,Husband,,
47,9th,Married-spouse-absent,Unmarried,Male,<=50K
30,HS-grad,Never-married,Own-child,Male,
34,HS-grad,Married-civ-spouse,Husband,,>50K
38,HS-grad,Married-civ-spouse,,,
33,Some-college,,Husband,Male,
49,Bachelors,Married-civ-spouse,,,
47,Some-college,Never-married,Unmarried,,<=50K
49,,Separated,Unmarried,Female,<=50K
43,Some-college,Married-civ-spouse,Husband,Male,>50K
30,Bachelors,Married-civ-spouse,Wife,,
58,HS-grad,,Husband,Male,
19,,,,Female,
,,Never-married,,Male,
33,,Married-civ-spouse,Husband,,>50K
47,5th-6th,Married-civ-spouse,,Male,<=50K
52,Doctorate,,,,
26,,Divorced,,,<=50K
60,,Married-civ-spouse,Husband,Male,
21,Some-college,,Own-child,Male,<=50K
,Some-college,,,,>50K
31,Some-college,,Husband,Male,<=50K
50,Doctorate,Separated,Not-in-family,Male,>50K
31,HS-grad,Divorced,,Female,
,HS-grad,Married-civ-spouse,Husband,Male,<=50K
58,HS-grad,,Husband,Male,
30,Bachelors,Married-civ-spouse,Husband,Male,>50K
20,Some-college,,,Male,<=50K
24,HS-grad,Never-married,Other-relative,,<=50K
